"국가",2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021
"국가",에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타
"프랑스",340472.98,51915.6,72120.34,21755.4,-,344990.55,49912.26,71933.47,21363.96,-,345384.7,51554.23,71179.71,19787.16,-,313657.27,51180.65,72736.91,19176.18,-,320009.09,49669.07,72460.41,18145.12,-,323234.27,49469.54,71756.33,18181.5,-,324417.97,50805.42,71786.82,18251.94,-,309891.36,48318.6,70821.43,18038.62,-,303807.59,45370.38,69150.18,19318.47,-,272062.99,39490.5,67668.49,19075.05,-,293275.78,41804.12,66529.31,18451.54,-
"독일",776304.29,61816.26,59394.44,9987.16,-,783203.33,60924.66,60052.38,9167.35,-,803522.36,60750.38,60852,8380.64,-,762832.85,60673.96,62107.72,7779.89,-,767815.04,59700.47,61967.23,7175.14,-,768840.64,61517.88,61546.13,6655.16,-,748981.68,65452.91,60866.86,6281.33,-,718459.61,62548.95,59265.36,5897.27,-,671197.65,59534.42,58525.01,5376.59,-,613329.46,55140.32,57551.88,4901.03,-,642350.64,57180.43,56332.89,4494.05,-
"그리스",92161.13,10044.05,8965.32,5008.62,-,88474.05,10855.79,8839.48,4754.63,-,78070.49,11571.55,8754.65,4865.65,-,74618.33,11938.38,8347.14,4933.42,-,71306.03,11580.37,8165.96,4912.93,-,67047.12,12088.79,8157.39,4981.21,-,70354.84,12383.89,8189.34,5182.25,-,67394.99,11994.43,8121.04,5346.66,-,61325.47,11346.95,8100.53,5380.33,-,51663.76,10158.91,8153.85,5487.96,-,53598.9,9991.75,8045.99,5852.19,-
"헝가리",48151.76,6560.57,5788.94,4368.91,-,45051.43,6257.29,5840.89,4407.51,-,42615.61,5639.9,6206.23,4199.38,-,42068.32,6402.81,6441.54,4080.46,-,44609.41,6993.44,6654.02,3944.23,-,45413.2,6527.65,6945.94,3809.44,-,47082.56,7210.15,6949.64,3830.41,-,46789.15,7443.5,7000.34,3800.65,-,46649.98,7344.45,6989.33,3788.03,-,44679.93,7353.18,7169.75,3762.46,-,46132.72,7149.77,7201.98,3733.37,-
"아이슬란드",1905.03,1829.25,644.46,313.5,-,1855.89,1897.74,640.72,292.56,-,1820.52,1946.31,624.97,302.87,-,1808.91,1921.17,668.28,289.15,-,1853.75,1970.24,659.23,289.49,-,1828.91,1953.28,658.73,274.62,-,1870.24,1999.9,659.58,269.98,-,1911.17,2041.27,637.77,280.2,-,1853.99,2007.33,621.47,241.11,-,1663.79,1974.61,617.01,265.65,-,1766.89,2006.8,620.07,268.48,-
"아일랜드",36909.4,2461.2,18821.03,660.9,-,36998.04,2663.02,19706.42,572.03,-,35849.87,2611.72,20504.14,745.87,-,35189.7,3021.4,20056.24,953.4,-,36855.98,3205.65,20620.34,1042.05,-,38366.92,3424.74,21161.49,1052.21,-,37057.28,3442.59,21897.67,1027,-,36834.88,3184.88,22719.21,995.14,-,35257.93,3141.66,21789.78,975.67,-,33122.21,2828.02,22133.28,972.79,-,34970.15,3242.83,22953.53,943.36,-
"이탈리아",417048.33,39307.6,32780.83,21717.86,-,400272.81,36644.72,33199.96,21832.42,-,367864.85,35764.44,32427.12,20419.32,-,347649.73,35403.26,32144.17,20202.16,-,359966.14,33327.78,32101.67,20340.06,-,356362.9,33571.44,33011.8,20016.14,-,350968.55,33880.67,32580.81,19910.95,-,346503.74,34927.21,32306.49,19893.46,-,336391.23,34037.65,32190.29,19657,-,300047.93,31039.64,33426.51,20455.8,-,332832.13,31852.11,32717.22,20189.97,-
"라트비아",7659.34,839.22,1883.73,684.03,-,7345.2,897.55,1962.72,678.87,-,7266.91,840.2,2025.7,667.61,-,7092.2,853.89,2105.34,661.15,-,7195.93,780.66,2151.47,616.73,-,7270.02,680.22,2163.27,628.61,-,7260.33,758.09,2176.66,581.01,-,7704.78,885.51,2096.41,585.64,-,7476.34,881.41,2198.36,575.76,-,6796.41,861.32,2250.41,574.99,-,7038.59,868.75,2252.96,564.99,-
"리히텐슈타인",179.42,9.1,25.66,1.75,-,188.01,9.41,26,1.74,-,195.23,9.53,24.8,1.74,-,163.71,9.69,25.22,1.63,-,162.27,9.69,25.03,1.65,-,152.31,9.3,25.06,1.63,-,158.3,9.56,24.42,1.63,-,145.51,9.7,24.89,1.61,-,151.61,9.36,25.71,1.64,-,144.41,8.92,25.91,1.64,-,148.42,8.29,25.53,1.66,-
"리투아니아",12274.42,3265.92,4225.78,1338.41,-,12314.21,3183.8,4287.37,1300.6,-,11694.32,2735.37,4254.53,1270.4,-,11316.72,2872.28,4459.44,1208.83,-,11288.47,3179.16,4537.64,1149.78,-,11607.94,3037.76,4444.56,1129.9,-,11548.07,3276.85,4400.01,1119.91,-,11903.4,2844.8,4265.55,999.73,-,11927.03,3072.28,4286.97,958.36,-,11846.91,2878.35,4507.75,932.72,-,12274.22,2755.92,4327.72,893.65,-
