"국가별",1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"루마니아",-,-,257137.2,210408.3,194856.7,184393.9,181845.5,188741.8,191736.2,185152.6,168185.2,150290.1,142238.3,145982.3,147998.8,153862.7,152121.6,151327.1,152350.5,155930.8,152897.6,131293.9,126669.9,132871.1,130693.3,118721.7,118214.8,117099.8,115310.2,118358.7,119236.8,115762.8,112036.0,115403.2
"벨기에",-,-,145844.5,148579.6,148077.8,146896.9,151445.5,153579.8,157228.0,148820.7,154012.9,147732.8,148877.3,147319.1,147415.1,147731.5,148523.9,145418.4,142715.6,139090.8,139030.9,126438.5,133644.3,123193.0,120443.6,120523.7,114878.9,118990.4,117419.6,116909.2,117584.9,116463.7,107272.7,110951.7
"벨라루스",-,-,145339.9,139713.4,126031.2,112296.4,96343.5,87956.0,88760.2,89022.1,87757.9,84261.5,81145.9,79825.9,79125.3,80871.1,84545.8,86538.4,89856.6,88251.0,91672.8,89716.1,91884.3,91314.5,92432.6,94456.4,93371.4,88307.5,87563.3,89247.6,92202.4,92291.6,89940.3,91988.2
"오스트리아",-,-,79047.2,82711.2,76142.8,76517.9,76726.0,79953.2,83112.9,82719.6,82012.9,80455.2,80619.4,84514.1,86267.5,91636.3,91427.9,92588.6,90158.7,87378.0,86770.8,80137.0,84693.3,82505.8,79788.3,80228.5,76662.7,78884.5,79821.3,82132.5,78854.4,79994.1,73910.8,77532.4
"그리스",-,-,103985.7,104006.3,105287.7,104828.0,107457.6,109581.1,112615.8,117470.5,122993.7,122985.9,126659.5,127731.0,127719.2,131569.0,132215.1,136748.1,133270.7,135855.4,132481.9,125261.4,119160.0,116179.1,112924.0,103262.3,99837.3,95965.3,92274.5,96110.3,92857.1,86153.3,75464.5,77488.8
"뉴질랜드",-,-,64720.1,65688.4,66835.0,66693.8,67859.2,68394.7,70551.5,73381.5,71186.9,72975.5,74850.5,77755.8,77682.4,79827.4,79669.2,81752.2,81773.4,79673.3,79350.4,76647.3,77328.0,77106.2,79086.9,78430.0,79212.6,79037.0,76930.2,78511.4,78776.3,79989.8,77330.7,76824.6
"헝가리",-,-,94985.0,88674.8,78847.3,79865.0,78750.6,77647.7,79804.3,78308.3,77784.5,78248.0,75378.3,77185.0,75478.6,78367.7,77192.1,76954.9,75660.3,74010.8,71954.6,65924.5,66533.8,64870.2,61557.1,58661.1,58993.1,62201.1,62696.2,65072.8,65033.6,64771.8,62965.3,64217.8
"아일랜드",-,-,55642.8,56553.5,56589.6,57186.8,58593.6,60080.7,62245.2,63683.6,66292.5,67523.4,69712.4,71814.5,69975.2,70468.5,69723.0,71531.5,71019.5,69874.9,69330.4,63528.3,63032.2,58852.5,59939.5,59711.6,59220.7,61724.0,64005.4,63424.5,63734.1,61165.0,59056.3,62109.9
"포르투갈",-,-,59473.4,61397.5,65243.1,63745.5,64652.6,69306.3,67012.8,70199.5,75058.7,83168.6,82420.0,81939.9,86395.0,81299.2,84520.6,86489.2,81649.5,79325.5,76900.5,73810.1,69529.9,68058.2,66076.8,64156.8,64041.8,68178.6,66351.9,71404.0,67765.0,64115.5,58029.4,56359.4
"불가리아",-,-,98910.3,80843.2,75325.9,74664.0,70605.3,72168.4,72615.2,69401.6,65356.8,58274.2,57387.5,60267.2,57719.9,62658.9,61760.6,62364.3,63088.4,67006.2,65625.0,56758.6,59383.2,64728.5,59675.7,54453.7,57529.0,60421.4,57773.6,59715.8,55361.8,53942.1,47984.6,53917.3
"노르웨이",-,-,50712.5,48339.0,46706.8,48598.7,50502.1,50834.5,53717.3,53693.4,53765.4,54741.4,54074.2,55298.6,54172.9,54947.6,55428.0,54471.7,54568.9,56272.9,54881.8,52541.1,54925.1,53999.2,53380.7,53615.1,53906.7,54362.8,53447.0,52678.8,52703.0,50958.2,49214.6,48902.0
