"국가",2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010
"국가",에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타,에너지,산업 공정 및 제품 사용,농업,폐기물,기타
"오스트리아",59456.65,14338.26,7561.76,3157.38,-,60622.19,15061.14,7439.39,3144.83,-,66130.18,15080.73,7286.34,3139.05,-,66229.01,14750.56,7249.75,3198.58,-,66714.6,15651.68,7181.23,3041.08,-,63921.32,16178.07,7153.3,2905.98,-,60487.92,16926.1,7201.59,2762.35,-,59530.93,17303.22,7300.42,2636.25,-,56391.83,13969.6,7325.99,2449.61,-,59281.15,15934.62,7188.18,2289.35,-
"벨라루스",53236.02,4140.06,18075.49,4374.29,-,52990.26,4151.8,17580.69,4402.53,-,53580.7,4511.6,18291.25,4487.53,-,56651.33,4686.52,18601.42,4606.53,-,57269.01,4985.83,19483.95,4799.62,-,59671.04,5323.61,19983.78,4878.19,-,57948.61,5530.3,19760.94,5011.12,-,60555.47,5669.05,20367.1,5081.21,-,58233.41,5595.77,20905.19,4981.74,-,59916.05,5877.42,20919.69,5171.11,-
"벨기에",106665.82,26297.98,10657.19,3698.09,-,107010.69,26178.8,10517.46,3708.12,-,108114.62,26098.51,10149.45,3368.9,-,107921.19,27123.47,10072.07,3407.19,-,105787.99,26525.02,9878.13,3227.21,-,104034.18,25805.62,9666.12,3209.68,-,101888.52,24281.93,9783.62,3136.73,-,101538.65,24918,9646.15,2928.1,-,94927.14,19005.41,9754.61,2751.36,-,99618.88,21665.69,9716.87,2642.86,-
"불가리아",44520.26,7017.89,4806.37,3922.66,0,42664.92,6312.18,4956.34,3786.45,0,46644.51,6969.48,4891.04,4153.85,0,45221.57,7054.87,5287.64,4196.49,0,45990.93,7508.22,4982.79,3882.38,0,47029.39,7324,4875.53,3859.48,0,50678.78,7775.61,4716.45,3835.41,0,50027.16,6853.52,4932.18,3812.11,0,44437.95,3829.94,4759.75,3730.96,0,46370.94,4088.91,5191,3732.32,0
"크로아티아",19295.29,2953.11,3226.74,1365.55,0,20401.98,2925.6,3172.42,1406.89,0,21776.35,2956.8,3190.91,1445.38,0,21249.26,3293.18,3344.68,1499.32,0,21619.55,3400.25,3361.83,1494.82,0,21678.77,3583.62,3435.77,1585.71,0,22914.3,3788.33,3348.68,1669.56,0,21733.91,3760.99,3515.96,1756.68,0,20573.52,3124.27,3067.39,1812.45,0,19764.71,3408.55,3135.04,1862.76,0
"체코",123673.45,14423.9,8544.77,4118.03,-,120402.12,14193.17,8139.8,4230.67,-,122943.66,15279.97,7550.38,4378.88,-,122614.7,16238.04,7841.83,4315.41,-,121844.35,14913.51,7814.76,4362.37,-,121945.78,16051.34,7744.25,4425.41,-,122756.13,16782.17,7950.73,4340.86,-,117528.02,16678.58,8015.36,4546.62,-,111397.68,14033.36,7190.49,4658.77,-,113218.32,14880.08,7146.92,4922.25,-
"덴마크",56728.41,3424.93,12841.65,1403.12,-,56221.01,3365.68,12924.52,1359.95,-,61519.07,3363.46,12764.49,1359.61,-,55915.3,3225.51,12732.03,1187.23,-,52266.61,2752.7,12532.36,1196.51,-,60212.09,2809.62,12237.02,1241.68,-,55369.12,2844.15,12442.46,1224.54,-,52091.44,2539.92,12429.2,1230.79,-,50024.76,2114.84,12261.48,1143.78,-,50689.46,1905.51,12183.85,1078.63,-
"에스토니아",15369.03,724.95,1162.9,631.11,-,15033.14,547.54,1102.14,617.26,-,16882.97,595.17,1151.44,603.7,-,16837.74,734.97,1192.24,597.31,-,16639.96,720.31,1212.06,568.29,-,15968.82,758.58,1211.57,551.08,-,19287.81,951.71,1263.62,543.3,-,17135.31,962.48,1318.5,525.55,-,14216.56,472.96,1268.82,549.91,-,18739.76,533.62,1302.23,535.98,-
"핀란드",59127.76,5892.3,6382.86,4071.86,-,61723.88,5924.99,6448.68,3788.16,-,69337.27,6260.22,6330.29,3562.59,-,65450.32,6600.69,6299.8,3388.62,-,53720.74,6552.62,6312.53,3118.82,-,64786.16,6805.54,6318.53,3202.38,-,62813.82,7255.48,6285.81,3086.25,-,54475.18,7481.66,6403.18,2950.27,-,52603.96,5909.98,6342.88,2836.76,-,60200.48,6097.06,6421.44,2836.97,-
"프랑스",392256.57,60688.16,78150.28,23188.24,-,386489.04,61603.23,76754.48,23424.73,-,394004.5,61345.71,73706.68,23552.57,-,393334.13,61264.54,74244.61,23365.78,-,395701.06,61204.84,73740.6,23252.97,-,383825.75,63035.79,73191.21,23257.18,-,372877.89,63825.56,73686.8,23164.13,-,370281.11,59495.4,75100.47,23211.19,-,361036.78,49283.93,74005.6,22555.79,-,363799.32,52399.32,72289.01,22665.27,-
